(17626,46928)
(1775,46965)
(2732,47945)
(16482,47968)
(1543,48180)
(3379,48436)
(11108,48643)
(11038,48745)
(7587,48770)
(2455,48807)
(11901,49034)
(8332,49237)
(12758,49304)
(5847,49390)
(14513,49533)
(10660,49908)
(9363,49918)
(8589,50153)
(3309,50582)
(7615,50677)
(7387,50797)
(7213,50970)
(8316,51060)
(16340,51293)
(8564,51385)
(15063,51451)
(2912,51489)
(1086,51503)
(898,51542)
(12861,51662)
(15004,51817)
(12920,51840)
(5777,51968)
(17662,52004)
(7152,52319)
(17216,52413)
(6930,52615)
(5991,52664)
(12136,52690)
(2279,52738)
(879,52803)
(6750,52948)
(16222,53123)
(1665,53369)
(14673,53370)
(13502,53524)
(13702,53554)
(16309,53647)
(10120,53791)
(4480,53864)
(19739,53969)
(12585,54207)
(6345,54503)
(7202,54691)
(7322,54806)
(2999,54932)
(5579,55657)
(9113,55735)
(15745,56019)
(12652,56182)
(18948,56249)
(8071,56272)
(12503,56417)
(9380,56548)
(19577,56553)
(13291,56785)
(1793,57021)
(16043,57239)
(13316,57366)
(4219,57417)
(15405,57676)
(11353,57824)
(14166,57953)
(11910,58201)
(9837,58220)
(4812,58313)
(18113,58349)
(12682,58368)
(13575,58427)
(17117,58432)
(19865,58663)
(15855,58744)
(16120,58755)
(19752,58823)
(15194,58919)
(6733,59012)
(10672,59084)
(17082,59139)
(6212,60460)
(5210,60526)
(19053,60551)
(1798,60613)
(2714,60957)
(6509,61013)
(980,61051)
(924,61076)
(13313,61333)
(15337,61350)
(19490,61595)
(10176,61914)
(7103,61971)
(12923,62089)
(15708,62263)
(17259,62532)
(3451,62577)
(4233,62623)
(5769,62847)
(13563,62908)
(14300,63225)
(4678,63425)
(2429,63699)
(16082,63766)
(6512,63795)
(6068,63906)
(17498,63919)
(16474,64316)
(6002,64474)
(17606,64479)
(13268,64487)
(11314,64584)
(18233,64650)
(14801,64659)
(1151,64803)
(6653,64901)
(14127,65060)
(15618,65114)
(983,65282)
(6534,65469)
(8925,65476)
(4885,65712)
(1193,65720)
(2355,66002)
(14829,66085)
(756,66120)
(2484,66168)
(7285,66266)
(11669,66317)
(18558,66321)
(15091,66369)
(2419,66427)
(7009,66546)
(9715,66643)
(10828,67160)
(7570,67434)
(10082,67494)
(8104,67618)
(11522,68566)
(4856,68624)
(15655,69226)
(16204,69591)
(143,69679)
(12666,69804)
(1974,69826)
(1085,69879)
(15269,70452)
(338,70458)
(18992,70491)
(3074,70501)
(7089,70578)
(14457,70818)
(14403,70834)
(15451,70971)
(9124,71137)
(11729,71408)
(9109,71484)
(6608,71614)
(139,71664)
(17859,71703)
(3321,72077)
(15325,72203)
(16638,72214)
(8125,72289)
(19167,72377)
(8906,72687)
(11762,72898)
(3033,73205)
(16617,73222)
(8550,73236)
(15854,73240)
(18844,73369)
(18438,73485)
(6918,73545)
(4750,73606)
(7532,73615)
(7077,73738)
(443,73773)
(12740,73774)
(5131,73861)
(4168,73894)
(16098,73930)
(9914,74151)
(9390,74235)
(4647,74493)
(18492,74683)
(9812,74707)
(4462,75021)
(13127,75150)
(8843,75160)
(10005,75370)
(6860,75601)
(12308,75637)
(10017,75720)
(16860,75966)
(18289,76247)
(15414,76553)
(17520,76963)
(9114,77080)
(7996,77132)
(16199,77579)
(9616,77662)
(5825,77725)
(7466,77886)
(18652,77993)
(2214,78094)
(1032,78112)
(19638,78146)
(279,78321)
(176,78357)
(15667,78365)
(12442,78419)
(5321,78576)
(265,78674)
(5718,79150)
(1647,79573)
(12587,79682)
(3032,79798)
(14929,79832)
(6969,79854)
(19218,80062)
(13157,80107)
(554,80159)
(6109,80348)
(14843,80555)
(10101,80932)
(12613,81367)
(10641,81518)
(15348,81711)
(3125,81986)
(929,82071)
(7507,82145)
(12713,82208)
(10956,82327)
(3140,82491)
(17889,82752)
(3521,82768)
(12465,82773)
(528,82905)
(7858,83131)
(14458,83185)
(15478,83339)
(18024,83381)
(11012,83505)
(7794,83606)
(4398,83621)
(17344,83782)
(4230,83969)
(6220,83996)
(14313,84006)
(19770,84019)
(17241,84408)
(18375,84621)
(11984,84631)
(13257,84665)
(2835,84697)
(12744,84748)
(14226,84774)
(2901,85307)
(13380,85329)
(5298,85408)
(9531,85793)
(10007,85939)
(11105,85972)
(2195,85980)
(15397,86062)
(8146,86075)
(18598,86186)
(1618,86362)
(12393,86370)
(15462,86422)
(7851,86553)
(15364,86751)
(6166,86826)
(11942,86896)
(1867,86966)
(13323,86972)
(10039,87207)
(4873,87347)
(178,87480)
(6370,87576)
(10793,87654)
(13394,87746)
(346,87867)
(12287,87946)
(14609,88186)
(19853,88215)
(7143,88224)
(15640,88344)
(13374,88482)
(11602,88786)
(3359,88831)
(15693,88861)
(1354,88896)
(3831,89151)
(19013,89311)
(16636,89372)
(16258,89514)
(17860,89668)
(9687,90200)
(11595,90539)
(3324,90573)
(2323,90727)
(14171,90750)
(1063,90758)
(4216,90960)
(17169,90985)
(2798,91033)
(17647,91041)
(15074,91062)
(16437,91066)
(1056,91243)
(13325,91339)
(4564,91503)
(59,91543)
(9012,91901)
(15086,91911)
(16465,92049)
(14429,92100)
(2656,92146)
(18442,92206)
(12911,92278)
(13387,92462)
(2168,92532)
(13671,92692)
(3611,92954)
(16259,93064)
(11433,93221)
(13851,93335)
(12795,93338)
(5622,93345)
(4110,93470)
(5809,93536)
(7922,93547)
(7057,93674)
(8242,93719)
(10097,93921)
(1428,93949)
(19591,93974)
(5552,94103)
(2347,94245)
(8390,94315)
(12170,94367)
(17526,94394)
(18981,94785)
(4036,94815)
(9242,94844)
(13764,94855)
(14695,94896)
(5475,94951)
(7402,94973)
(13909,94982)
(9178,95180)
(13001,95228)
(8473,95253)
(15356,95301)
(9515,95468)
(5019,95483)
(19833,95565)
(5296,95790)
(12458,95842)
(6200,95921)
(4997,95941)
(160,95960)
(2754,95968)
(16610,96196)
(11337,96241)
(16596,96248)
(15248,96382)
(2258,96432)
(2081,96554)
(5301,96587)
(7028,96642)
(3692,96663)
(12940,96946)
(13363,96994)
(1664,97002)
(18350,97098)
(19656,97171)
(941,97478)
(11583,97572)
(5522,97589)
(3014,97723)
(10255,97768)
(11875,97779)
(16605,97830)
(19296,97833)
(74,97947)
(10088,97953)
(5615,97967)
(7248,98081)
(15301,98102)
(566,98211)
(6691,98271)
(6887,98287)
(19594,98318)
(6634,98403)
(5537,98446)
(7023,98460)
(19549,98464)
(12208,98523)
(6325,98561)
(7108,98661)
(15464,98693)
(6191,98710)
(14022,98849)
(13504,98886)
(9742,98900)
(9976,98951)
(4771,98994)
